date,open,high,low,close,volume,value
2014-04-02,629.00,638.00,623.00,624.00,12170000,7672551000
2014-04-01,623.00,634.00,621.00,629.00,14579000,9174097000
2014-03-31,626.00,627.00,615.00,624.00,13463000,8362669000
2014-03-28,610.00,621.00,605.00,620.00,16220000,9975369000
2014-03-27,587.00,618.00,586.00,614.00,22299000,13523619000
2014-03-26,577.00,594.00,575.00,593.00,13315000,7812958000
2014-03-25,560.00,576.00,552.00,570.00,19718000,11126979000
2014-03-24,579.00,590.00,569.00,573.00,14054000,8128735000
2014-03-20,600.00,601.00,575.00,575.00,13100000,7650121000
2014-03-19,598.00,604.00,588.00,590.00,13692000,8136853000
2014-03-18,600.00,605.00,593.00,594.00,9152000,5472164000
2014-03-17,581.00,583.00,576.00,578.00,10475000,6070942000
2014-03-14,600.00,605.00,585.00,586.00,21311000,12679906000
2014-03-13,605.00,623.00,602.00,610.00,15189000,9326576000
2014-03-12,605.00,610.00,601.00,605.00,13607000,8234860000
2014-03-11,623.00,626.00,609.00,615.00,15137000,9304154000
2014-03-10,630.00,631.00,616.00,622.00,15852000,9883835000
2014-03-07,639.00,640.00,629.00,637.00,16632000,10573222000
2014-03-06,633.00,639.00,626.00,637.00,19189000,12155333000
2014-03-05,640.00,642.00,631.00,634.00,28696000,18296224000
2014-03-04,605.00,617.00,604.00,612.00,16817000,10278679000
2014-03-03,625.00,629.00,608.00,618.00,14498000,8935855000
2014-02-28,636.00,641.00,623.00,634.00,20109000,12702305000
2014-02-27,620.00,655.00,618.00,645.00,34043000,21770679000
2014-02-26,629.00,630.00,618.00,625.00,16994000,10607003000
2014-02-25,638.00,640.00,629.00,634.00,13807000,8753489000
2014-02-24,648.00,648.00,627.00,635.00,15484000,9859114000
2014-02-21,641.00,649.00,640.00,645.00,13167000,8488268000
2014-02-20,640.00,641.00,629.00,632.00,18748000,11906709000
2014-02-19,638.00,652.00,632.00,647.00,27428000,17670064000
2014-02-18,616.00,633.00,609.00,632.00,20856000,12983845000
2014-02-17,607.00,615.00,593.00,615.00,13566000,8247421000
2014-02-14,614.00,634.00,601.00,608.00,20485000,12597072000
2014-02-13,628.00,631.00,616.00,617.00,16030000,9978850000
2014-02-12,607.00,625.00,599.00,623.00,24796000,15285907000
2014-02-10,592.00,606.00,577.00,606.00,24574000,14573144000
2014-02-07,595.00,610.00,585.00,598.00,21900000,13083728000
2014-02-06,577.00,603.00,575.00,588.00,24068000,14250506000
2014-02-05,573.00,577.00,553.00,563.00,38013000,21456322000
2014-02-04,581.00,593.00,570.00,571.00,38065000,22150708000
2014-02-03,570.00,605.00,569.00,601.00,51483000,30529316000
2014-01-31,556.00,585.00,549.00,578.00,74363000,42106655000
2014-01-30,505.00,513.00,503.00,512.00,12747000,6481943000
2014-01-29,505.00,517.00,504.00,517.00,10921000,5586793000
2014-01-28,496.00,505.00,494.00,494.00,10636000,5302916000
2014-01-27,499.00,509.00,492.00,494.00,20696000,10309586000
2014-01-24,528.00,533.00,510.00,515.00,19451000,10097508000
2014-01-23,553.00,557.00,534.00,534.00,19114000,10418996000
2014-01-22,531.00,548.00,530.00,546.00,13108000,7111288000
2014-01-21,534.00,541.00,530.00,532.00,9173000,4914337000
2014-01-20,539.00,547.00,529.00,530.00,10328000,5543739000
2014-01-17,538.00,542.00,534.00,541.00,11283000,6087978000
2014-01-16,544.00,555.00,539.00,541.00,12028000,6574498000
2014-01-15,538.00,544.00,536.00,544.00,8033000,4343402000
2014-01-14,530.00,534.00,523.00,526.00,13132000,6931859000
2014-01-10,543.00,548.00,537.00,544.00,13664000,7408654000
2014-01-09,557.00,557.00,542.00,550.00,10956000,6013809000
2014-01-08,544.00,560.00,541.00,559.00,13755000,7576520000
2014-01-07,535.00,543.00,531.00,542.00,9838000,5293279000
2014-01-06,540.00,543.00,535.00,541.00,9512000,5131075000
